word,freq
expensive,72
issues,51
canceled,50
complaint,37
traffic,32
unreliable,28
waited,25
garbage,20
unnecessary,19
cheating,18
canceling,18
unsafe,17
dropped,17
greedy,16
concern,15
reported,14
refunded,14
nonsense,14
failed,13
deleting,12
stealing,11
rubbish,11
leaving,11
forcing,11
uninstalling,10
overcharge,10
horrendous,10
glitch,10
frustrated,10
urgently,9
unethical,9
talking,9
starting,9
sometime,9
search,9
receiving,9
random,9
providing,9
places,9
parcel,9
package,9
ordering,9
neither,9
navigation,9
missing,9
mention,9
member,9
inaccurate,9
forced,9
difference,9
decided,9
continue,9
contacting,9
confirming,9
beware,9
wanted,8
simple,8
shocking,8
running,8
requests,8
regarding,8
reasonable,8
quicker,8
public,8
problem,8
predatory,8
personal,8
outrageous,8
nowhere,8
moving,8
mostly,8
minimum,8
illegal,8
going_to,8
friends,8
facing,8
explain,8
experienced,8
esperando,8
emails,8
earlier,8
designed,8
depend,8
demanding,8
deleted,8
declined,8
connected,8
companies,8
cobran,8
checking,8
charges,8
button,8
android,8
allowed,8
according,8
accident,8
acceptable,8
walking,7
specific,7
software,7
simply,7
serviço,7
security,7
searching,7
screenshot,7
scamming,7
scammers,7
scammed,7
robbery,7
required,7
ratings,7
railway,7
quickly,7
purchase,7
precios,7
porque,7
plenty,7
placed,7
password,7
overpriced,7
nightmare,7
monthly,7
methods,7
mentioned,7
letting,7
invoice,7
instructions,7
installed,7
inflated,7
inconsistent,7
highway,7
frequently,7
frequent,7
forward,7
existent,7
example,7
estimates,7
estimate,7
esperar,7
dollar,7
display,7
depois,7
definitely,7
decent,7
created,7
course,7
couple,7
corridas,7
conversation,7
control,7
continuously,7
contacted,7
choosing,7
centre,7
believe,7
becomes,7
became,7
assistance,7
apparently,7
amazon,7
aceptan,7
worthless,6
walked,6
updating,6
triple,6
traveling,6
tonight,6
tipping,6
thieves,6
themselves,6
tarjeta,6
tarifas,6
tarifa,6
switching,6
stated,6
starts,6
specially,6
soporte,6
similar,6
section,6
responses,6
repeatedly,6
renewal,6
removed,6
reject,6
refunds,6
randomly,6
putting,6
profit,6
packages,6
overcharged,6
numbers,6
november,6
network,6
marked,6
knowing,6
irritating,6
interface,6
inconvenient,6
himself,6
helpline,6
happen,6
handle,6
gouging,6
gotten,6
fraudulent,6
forgot,6
follow,6
express,6
everyday,6
eventually,6
estimated,6
espera,6
endless,6
easier,6
distances,6
displayed,6
disabled,6
direction,6
difficult,6
destinations,6
deserve,6
describe,6
deducting,6
december,6
coupon,6
correctly,6
convenience,6
consumer,6
closer,6
closed,6
cliente,6
choice,6
causing,6
cancelan,6
billing,6
basically,6
automated,6
attention,6
attempt,6
although,6
alternatives,6
alternative,6
algorithm,6
agents,6
accounts,6
wonder,5
visible,5
version,5
urgent,5
updates,5
unusable,5
unhappy,5
tracking,5
technical,5
standing,5
sitting,5
seeing,5
school,5
ripping,5
rights,5
ridiculous,5
returning,5
results,5
restaurants,5
responsible,5
repeated,5
reinstall,5
regularly,5
refuses,5
raising,5
questions,5
quando,5
promotional,5
promotion,5
promos,5
profile,5
probably,5
practices,5
poorly,5
period,5
passed,5
parking,5
original,5
opción,5
numerous,5
navigate,5
monopoly,5
meters,5
messing,5
meeting,5
locate,5
intentionally,5
inside,5
increasing,5
inconvenience,5
included,5
identity,5
hidden,5
grocery,5
freezing,5
firstly,5
extreme,5
experiencia,5
everywhere,5
estaba,5
errors,5
ending,5
drives,5
disappoint,5
direct,5
dinero,5
digital,5
demanda,5
decide,5
crooks,5
create,5
costumer,5
constant,5
consider,5
complicated,5
completion,5
common,5
cobrar,5
cities,5
choferes,5
cheaters,5
cancle,5
budget,5
bought,5
boarding,5
bloody,5
behind,5
barely,5
banking,5
background,5
average,5
authorize,5
appointment,5
aplicativo,5
anytime,5
allowing,5
afford,5
adjustment,5
abusive,5
warning,4
useless,4
unexpected,4
tuesday,4
