word,freq,
great,79,
excellent,70,
friendly,67,
awesome,61,
super,69,
better,68,
helpful,63,
reliable,59,
amazing,57,
quick,55,
convenient,55,
professional,53,
clean,69,
affordable,69,
polite,60,
comfortable,57,
wonderful,51,
perfect,50,
efficient,39,
useful,38,
superb,46,
pleasant,46,
happy,44,
reasonable,42,
journey,40,
fantastic,40,
exceptional,37,
smooth,36,
courteous,36,
recommend,35,
prompt,34,
cheaper,33,
enjoyed,29,
satisfied,27,
available,25,
respectful,24,
lovely,24,
little,23,
safety,22,
appreciate,21,
brilliant,20,
accurate,20,
enjoy,19,
outstanding,18,
excelente,18,
conversation,18,
cheap,18,
value,16,
simple,16,
quickly,16,
quality,16,
pretty,14,
gentleman,14,
dependable,14,
timely,13,
helped,13,
fabulous,13,
punctual,12,
pricing,12,
patient,12,
early,12,
decent,12,
seamless,11,
pleasure,11,
platform,11,
options,11,
music,11,
loving,11,
impressed,11,
funny,11,
trust,10,
sweet,10,
easier,10,
discounts,10,
peaceful,9,
loved,9,
giving,9,
enjoyable,9,
comfort,9,
recommended,8,
personable,8,
mannered,8,
knowledgeable,8,
helping,8,
beautiful,8,
availability,8,
worth,7,
trustworthy,7,
smart,7,
secure,7,
satisfactory,7,
safest,7,
pleased,7,
interesting,7,
helps,7,
grateful,7,
enjoying,7,
easily,7,
discount,7,
cooperative,7,
luggage,6,
longer,6,
improve,6,
honest,6,
economical,6,
communication,6,
cheapest,6,
careful,6,
bless,6,
appreciated,6,
trusted,5,
tipped,5,
small,5,
respect,5,
preferred,5,
prefer,5,
positive,5,
nature,5,
liked,5,
improvement,5,
improved,5,
genuine,5,
friends,5,
flawless,5,
fastest,5,
fares,5,
effective,5,
distance,5,
courtesy,5,
convenience,5,
considerate,5,
competitive,5,
clear,5,
choice,5,
terrific,4,
swift,4,
surprised,4,
successful,4,
skill,4,
showing,4,
showed,4,
shopping,4,
sharing,4,
share,4,
seems,4,
screen,4,
scooter,4,
schedule,4,
saying,4,
satisfying,4,
roads,4,
responsive,4,
requesting,4,
regular,4,
regards,4,
reaching,4,
providing,4,
program,4,
points,4,
picking,4,
phenomenal,4,
personality,4,
personal,4,
period,4,
passengers,4,
parking,4,
myself,4,
multiple,4,
months,4,
miles,4,
maintained,4,
kudos,4,
kinda,4,
keeps,4,
incredible,4,
including,4,
importantly,4,
humble,4,
hospital,4,
haven't,4,
happened,4,
given,4,
flight,4,
final,4,
facility,4,
expect,4,
evening,4,
driven,4,
drawing,4,
download,4,
contact,4,
confirm,4,
conditions,4,
complaint,4,
complain,4,
comes,4,
cities,4,
chill,4,
chatty,4,
certainly,4,
cautious,4,
caring,4,
carefully,4,
willing,3,
supportive,3,
spotless,3,
special,3,
sound,3,
solid,3,
sincerely,3,
several,3,
sending,3,
select,3,
security,3,
seats,3,
satisfaction,3,
returned,3,
proper,3,
prime,3,
perfectly,3,
loyal,3,
kindness,3,
informative,3,
immediately,3,
immediate,3,
immaculate,3,
groceries,3,
greatest,3,
fresh,3,
flexible,3,
everywhere,3,
directions,3,
diligent,3,
beats,3,
aware,3,
attractive,3,
attitude,3,
accommodate,3,
acceptable,3,
worldwide,2,
worked,2,
truth,2,
thoughtful,2,
thankful,2,
steady,2,
soothing,2,
smoothly,2,
smile,2,
shortest,2,
sharp,2,
servis,2,
selecting,2,
seemed,2,
seconds,2,
second,2,
scroll,2,
scheduled,2,
satisfy,2,
sarvise,2,
sarvesh,2,
safer,2,
rural,2,
rupees,2,
ridding,2,
ridden,2,
review,2,
restaurant,2,
responsible,2,
resolve,2,
required,2,
require,2,
report,2,
rental,2,
remember,2,
relaxing,2,
related,2,
refund,2,
recording,2,
recently,2,
rebooking,2,
reasons,2,
ratings,2,
range,2,
punctuality,2,
provides,2,
promptly,2,
promotion,2,
pricey,2,
present,2,
premium,2,
precise,2,
precautions,2,
pocket,2,
played,2,
pilot,2,
persons,2,
personally,2,
perks,2,
pensioner,2,
paypal,2,
paying,2,
parson,2,
parcel,2,
outskirts,2,
organized,2,
